wl,n
1.6900,0.019
1.7000,0.019
1.7100,0.019
1.7200,0.019
1.7300,0.019
1.7400,0.018
1.7500,0.019
1.7600,0.019
1.7700,0.018
1.7800,0.018
1.7900,0.017
1.8000,0.017
1.8100,0.017
1.8200,0.018
1.8300,0.017
1.8400,0.017
1.8500,0.017
1.8600,0.018
1.8700,0.019
1.8800,0.020
1.8900,0.020
1.9000,0.020
1.9100,0.019
1.9200,0.019
1.9300,0.019
1.9400,0.019
1.9500,0.019
1.9600,0.019
1.9700,0.018
1.9800,0.018
1.9900,0.018
2.0000,0.018
2.0100,0.018
2.0200,0.018
2.0300,0.018
2.0400,0.018
2.0500,0.019
2.0600,0.019
2.0700,0.019
2.0800,0.019
2.0900,0.019
2.1000,0.018
2.1100,0.018
2.1200,0.018
2.1300,0.019
2.1400,0.019
2.1500,0.019
2.1600,0.019
2.1700,0.020
2.1800,0.019
2.1900,0.019
2.2000,0.019
2.2100,0.020
2.2200,0.020
2.2300,0.021
2.2400,0.020
2.2500,0.020
2.2600,0.021
2.2700,0.020
2.2800,0.020
2.2900,0.020
2.3000,0.020
2.3100,0.020
2.3200,0.020
2.3300,0.020
2.3400,0.020
2.3500,0.020
2.3600,0.020
2.3700,0.020
2.3800,0.021
2.3900,0.020
2.4000,0.021
2.4100,0.020
2.4200,0.020
2.4300,0.020
2.4400,0.019
2.4500,0.020
2.4600,0.019
2.4700,0.019
2.4800,0.019
2.4900,0.018
2.5000,0.018
2.5063,0.019
2.5126,0.019
2.5189,0.019
2.5253,0.019
2.5316,0.018
2.5381,0.019
2.5445,0.019
2.5510,0.019
2.5575,0.019
2.5641,0.019
2.5707,0.019
2.5773,0.019
2.5840,0.020
2.5907,0.019
2.5974,0.019
2.6042,0.019
2.6110,0.020
2.6178,0.020
2.6247,0.020
2.6316,0.020
2.6385,0.020
2.6455,0.020
2.6525,0.020
2.6596,0.020
2.6667,0.020
2.6738,0.020
2.6810,0.020
2.6882,0.020
2.6954,0.020
2.7027,0.019
2.7100,0.019
2.7174,0.019
2.7248,0.020
2.7322,0.021
2.7397,0.021
2.7473,0.021
2.7548,0.021
2.7624,0.021
2.7701,0.021
2.7778,0.021
2.7855,0.021
2.7933,0.020
2.8011,0.020
2.8090,0.021
2.8169,0.021
2.8249,0.021
2.8329,0.021
2.8409,0.020
2.8490,0.020
2.8571,0.021
2.8653,0.021
2.8736,0.020
2.8818,0.020
2.8902,0.020
2.8986,0.020
2.9070,0.020
2.9155,0.020
2.9240,0.020
2.9326,0.020
2.9412,0.020
2.9499,0.021
2.9586,0.021
2.9674,0.021
2.9762,0.020
2.9851,0.020
2.9940,0.020
3.0030,0.021
3.0120,0.020
3.0211,0.020
3.0303,0.019
3.0395,0.019
3.0488,0.020
3.0581,0.020
3.0675,0.019
3.0769,0.019
3.0864,0.019
3.0960,0.020
3.1056,0.019
3.1153,0.019
3.1250,0.019
3.1348,0.020
3.1447,0.020
3.1546,0.020
3.1646,0.019
3.1746,0.019
3.1847,0.019
3.1949,0.020
3.2051,0.021
