WL	n	k
0.000001709300	5.65920	6.87710
0.000001716000	5.66320	6.86760
0.000001722800	5.66660	6.85800
0.000001729500	5.66930	6.84850
0.000001736300	5.67120	6.83890
0.000001743100	5.67250	6.82950
0.000001750000	5.67300	6.82000
0.000001756800	5.67280	6.81070
0.000001763700	5.67190	6.80150
0.000001770700	5.67030	6.79240
0.000001777600	5.66790	6.78340
0.000001784600	5.66480	6.77470
0.000001791600	5.66110	6.76610
0.000001798600	5.65660	6.75770
0.000001805700	5.65140	6.74950
0.000001812700	5.64550	6.74160
0.000001819900	5.63890	6.73400
0.000001827000	5.63160	6.72660
0.000001834200	5.62370	6.71950
0.000001841400	5.61510	6.71280
0.000001848600	5.60580	6.70640
0.000001855800	5.59580	6.70040
0.000001863100	5.58520	6.69470
0.000001870400	5.57390	6.68940
0.000001877800	5.56210	6.68460
0.000001885100	5.54950	6.68010
0.000001892500	5.53640	6.67610
0.000001900000	5.52270	6.67260
0.000001907400	5.50840	6.66950
0.000001914900	5.49340	6.66690
0.000001922400	5.47800	6.66480
0.000001930000	5.46190	6.66320
0.000001937500	5.44530	6.66210
0.000001945100	5.42820	6.66160
0.000001952800	5.41050	6.66160
0.000001960400	5.39240	6.66220
0.000001968100	5.37370	6.66340
0.000001975800	5.35460	6.66510
0.000001983600	5.33500	6.66750
0.000001991400	5.31490	6.67040
0.000001999200	5.29440	6.67400
0.000002007000	5.27340	6.67820
0.000002014900	5.25200	6.68300
0.000002022800	5.23030	6.68850
0.000002030700	5.20810	6.69460
0.000002038700	5.18560	6.70130
0.000002046700	5.16270	6.70880
0.000002054700	5.13940	6.71690
0.000002062800	5.11590	6.72570
0.000002070900	5.09200	6.73520
0.000002079000	5.06780	6.74540
0.000002087200	5.04330	6.75630
0.000002095400	5.01860	6.76780
0.000002103600	4.99360	6.78010
0.000002111900	4.96830	6.79310
0.000002120100	4.94280	6.80680
0.000002128500	4.91720	6.82130
0.000002136800	4.89130	6.83640
0.000002145200	4.86530	6.85230
0.000002153600	4.83900	6.86890
0.000002162100	4.81270	6.88620
0.000002170500	4.78620	6.90430
0.000002179100	4.75950	6.92310
0.000002187600	4.73280	6.94260
0.000002196200	4.70600	6.96280
0.000002204800	4.67910	6.98380
0.000002213500	4.65220	7.00550
0.000002222100	4.62520	7.02790
0.000002230900	4.59810	7.05110
0.000002239600	4.57110	7.07500
0.000002248400	4.54410	7.09960
0.000002257200	4.51700	7.12490
0.000002266100	4.49000	7.15090
0.000002275000	4.46300	7.17760
0.000002283900	4.43610	7.20510
0.000002292900	4.40920	7.23320
0.000002301900	4.38240	7.26210
0.000002310900	4.35570	7.29160
0.000002320000	4.32910	7.32180
0.000002329100	4.30270	7.35270
0.000002338200	4.27630	7.38430
0.000002347400	4.25010	7.41660
0.000002356600	4.22400	7.44950
0.000002365800	4.19810	7.48310
0.000002375100	4.17230	7.51730
0.000002384400	4.14680	7.55210
0.000002393800	4.12140	7.58760
0.000002403200	4.09620	7.62380
0.000002412600	4.07120	7.66050
0.000002422100	4.04640	7.69780
0.000002431600	4.02190	7.73580
0.000002441100	3.99760	7.77430
0.000002450700	3.97350	7.81350
0.000002460300	3.94970	7.85320
0.000002470000	3.92610	7.89350
0.000002479700	3.90280	7.93430
0.000002489400	3.87980	7.97570
0.000002499100	3.85700	8.01770
0.000002509000	3.83450	8.06010
0.000002518800	3.81230	8.10310
0.000002528700	3.79040	8.14670
0.000002538600	3.76880	8.19070
0.000002548600	3.74740	8.23520
0.000002558600	3.72640	8.28030
0.000002568600	3.70570	8.32580
0.000002578700	3.68530	8.37170
0.000002588800	3.66520	8.41820
0.000002599000	3.64540	8.46510
0.000002609200	3.62590	8.51250
0.000002619400	3.60670	8.56020
0.000002629700	3.58790	8.60850
0.000002640000	3.56940	8.65710
